Date,Open,High,Low,Close,Volume,Change
2015_11_29_,14.02,14.035,14.02,14.035,-,-0.09%
2015_11_27_,14.17,14.375,13.93,14.048,53.21K,-1.28%
2015_11_26_,14.15,14.345,14.105,14.23,-,0.39%
2015_11_25_,14.19,14.265,14.03,14.175,40.15K,-0.09%
2015_11_24_,14.11,14.3,14.05,14.188,34.59K,0.90%
2015_11_23_,14.115,14.185,13.89,14.061,26.15K,-0.45%
2015_11_22_,14.145,14.145,14.075,14.125,-,-0.01%
2015_11_20_,14.265,14.395,14.07,14.126,15.85K,-0.68%
2015_11_19_,14.14,14.37,14.09,14.222,47.79K,1.00%
2015_11_18_,14.145,14.21,13.99,14.081,48.03K,-0.64%
2015_11_17_,14.22,14.25,14.08,14.171,48.10K,-0.36%
2015_11_16_,14.265,14.42,14.17,14.222,43.02K,-1.00%
2015_11_15_,14.33,14.365,14.305,14.365,-,1.13%
2015_11_13_,14.25,14.35,14.14,14.204,39.52K,-0.15%
2015_11_12_,14.275,14.465,14.155,14.225,67.76K,-0.27%
2015_11_11_,14.375,14.49,14.23,14.263,50.93K,-0.65%
2015_11_10_,14.515,14.555,14.265,14.356,58.43K,-0.40%
2015_11_9_,14.73,14.76,14.395,14.413,50.39K,-2.02%
2015_11_8_,14.74,14.745,14.7,14.71,-,0.13%
2015_11_6_,14.96,15.045,14.685,14.691,54.95K,-1.95%
2015_11_5_,15.065,15.09,14.91,14.983,42.80K,-0.50%
2015_11_4_,15.255,15.325,15.025,15.058,39.66K,-1.19%
2015_11_3_,15.4,15.45,15.2,15.239,35.44K,-1.10%
2015_11_2_,15.535,15.55,15.25,15.408,40.80K,-0.63%
2015_11_1_,15.535,15.545,15.465,15.505,-,-0.40%
2015_10_30_,15.6,15.655,15.475,15.567,40.00K,0.11%
2015_10_29_,15.935,16.01,15.535,15.55,62.48K,-4.56%
2015_10_28_,15.86,16.37,15.72,16.293,72.13K,2.71%
2015_10_27_,15.84,15.95,15.78,15.863,27.45K,-0.26%
2015_10_26_,15.845,15.98,15.77,15.905,24.97K,0.41%
2015_10_25_,15.81,15.865,15.795,15.84,-,0.08%
2015_10_23_,15.815,16.1,15.705,15.827,48.55K,-0.06%
2015_10_22_,15.68,15.91,15.64,15.837,33.50K,0.81%
2015_10_21_,15.9,15.94,15.61,15.71,40.33K,-1.30%
2015_10_20_,15.83,15.965,15.74,15.917,38.77K,0.48%
2015_10_19_,16.015,16.04,15.735,15.841,35.46K,-1.09%
2015_10_18_,16.03,16.04,15.985,16.015,-,-0.61%
2015_10_16_,16.12,16.165,15.935,16.114,32.34K,-0.31%
2015_10_15_,16.13,16.195,15.9,16.164,47.36K,0.29%
2015_10_14_,15.91,16.195,15.79,16.117,60.33K,1.32%
2015_10_13_,15.815,15.985,15.615,15.907,40.67K,0.27%
2015_10_12_,15.795,16.075,15.765,15.864,36.44K,0.47%
2015_10_11_,15.82,15.82,15.775,15.79,-,-0.18%
2015_10_9_,15.68,16.01,15.585,15.818,41.67K,0.33%
2015_10_8_,16.055,16.08,15.375,15.766,59.34K,-2.04%
2015_10_7_,15.89,16.115,15.82,16.094,44.10K,0.69%
2015_10_6_,15.62,16.09,15.57,15.984,60.22K,1.76%
2015_10_5_,15.25,15.73,15.1,15.708,61.89K,3.21%
2015_10_4_,15.235,15.35,15.22,15.22,-,-0.28%
2015_10_2_,14.49,15.3,14.36,15.263,70.56K,5.18%
2015_10_1_,14.5,14.67,14.43,14.511,28.15K,-0.05%
2015_9_30_,14.605,14.725,14.435,14.518,37.06K,-0.38%
2015_9_29_,14.585,14.7,14.455,14.573,33.13K,0.24%
2015_9_28_,15.07,15.11,14.47,14.538,57.21K,-3.75%
2015_9_27_,15.095,15.11,15.055,15.105,-,-0.04%
2015_9_25_,15.07,15.185,14.945,15.111,29.90K,-0.13%
2015_9_24_,14.765,15.18,14.745,15.13,45.68K,2.31%
2015_9_23_,14.765,14.91,14.685,14.789,26.77K,0.22%
2015_9_22_,15.18,15.22,14.695,14.756,45.91K,-3.05%
