Date,Open,High,Low,Close,Volume,Change
2014_6_10_,1252.4,1262.3,1251,1259.8,1.01K,0.50%
2014_6_9_,1252.7,1256.1,1251.8,1253.5,0.10K,0.11%
2014_6_6_,1253.4,1256.6,1246.3,1252.1,0.38K,-0.07%
2014_6_5_,1244,1256.6,1241.2,1253,1.32K,0.72%
2014_6_4_,1245.1,1248.8,1242.7,1244,0.60K,-0.02%
2014_6_3_,1244.1,1247.5,1240.5,1244.3,0.65K,0.05%
2014_6_2_,1250,1250.7,1240.9,1243.7,0.77K,-0.15%
2014_5_30_,1255.1,1259.6,1241.8,1245.6,3.84K,-0.85%
2014_5_29_,1258.3,1260.6,1250.9,1256.3,38.05K,-0.24%
2014_5_28_,1259.3,1259.3,1263.6,1259.3,134.36K,-0.48%
2014_5_27_,1291.9,1291.9,1276,1265.4,0.03K,-2.10%
2014_5_26_,1291.6,1294.4,1291.4,1292.5,-,0.06%
2014_5_25_,1293.9,1294.2,1291.1,1291.7,-,0.01%
2014_5_23_,1293.2,1293.4,1293.2,1291.6,-,-0.25%
2014_5_22_,1294.2,1295,1294.2,1294.9,-,0.54%
2014_5_21_,1287.4,1287.4,1287.4,1288,-,-0.50%
2014_5_20_,1290.7,1290.7,1290.1,1294.5,0.01K,0.06%
2014_5_19_,1293.7,1293.7,1293.7,1293.7,0.04K,0.03%
2014_5_16_,1293.3,1293.3,1293.3,1293.3,0.01K,-0.02%
2014_5_15_,1302.5,1302.5,1292.8,1293.5,0.03K,-0.93%
2014_5_14_,1292.8,1306.9,1292.8,1305.7,0.03K,0.86%
2014_5_13_,1295.5,1295.5,1292,1294.6,0.02K,-0.08%
2014_5_12_,1282.1,1295.9,1281.2,1295.6,0.02K,0.64%
2014_5_9_,1287.3,1287.3,1287.3,1287.3,-,-0.01%
2014_5_8_,1291.5,1291.5,1285.5,1287.4,0.07K,-0.09%
2014_5_7_,1310.3,1312,1288,1288.6,0.02K,-1.51%
2014_5_6_,1309.4,1309.4,1306.9,1308.3,0.01K,-0.05%
2014_5_5_,1305.6,1314.2,1305.5,1309,0.03K,0.49%
2014_5_2_,1276.7,1302.7,1276.7,1302.6,0.09K,1.52%
2014_5_1_,1288.7,1288.7,1278,1283.1,0.03K,-0.96%
2014_4_30_,1296,1296.5,1286.6,1295.6,0.18K,-0.03%
2014_4_29_,1295.5,1300.5,1289.1,1296,0.90K,-0.22%
2014_4_28_,1305.4,1305.4,1293,1298.9,0.06K,-0.14%
2014_4_25_,1293.8,1304.6,1293.8,1300.7,0.27K,0.79%
2014_4_24_,1284.6,1297.9,1272.4,1290.5,0.52K,0.49%
2014_4_23_,1284.3,1287.7,1282.4,1284.2,0.18K,0.28%
2014_4_22_,1289.2,1291.6,1276,1280.6,0.10K,-0.57%
2014_4_21_,1290,1299.2,1283.7,1288,0.10K,-0.42%
2014_4_17_,1300.1,1303,1292.5,1293.4,0.12K,-0.74%
2014_4_16_,1302.7,1304,1295,1303.1,0.18K,0.24%
2014_4_15_,1322.7,1322.7,1291.5,1300,0.24K,-2.05%
2014_4_14_,1320.1,1330,1320.1,1327.2,0.33K,0.64%
2014_4_11_,1319,1322.8,1316.3,1318.7,0.08K,-0.11%
2014_4_10_,1311.8,1323.8,1311.2,1320.1,0.13K,1.12%
2014_4_9_,1309.5,1313.6,1301.1,1305.5,0.19K,-0.24%
2014_4_8_,1296.6,1314.1,1296.6,1308.7,0.26K,0.82%
2014_4_7_,1301.4,1304,1296.3,1298,0.36K,-0.40%
2014_4_4_,1285.5,1306.1,1284.4,1303.2,0.98K,1.46%
2014_4_3_,1290.8,1293.6,1282.7,1284.4,0.78K,-0.47%
2014_4_2_,1280.2,1294.1,1280.2,1290.5,1.10K,0.85%
2014_4_1_,1285.1,1287.9,1277.3,1279.6,0.88K,-0.30%
2014_3_31_,1294.3,1298.8,1282.4,1283.4,4.12K,-0.80%
2014_3_28_,1292.2,1299.4,1285.9,1293.8,65.49K,-0.07%
2014_3_27_,1294.7,1294.7,1294.7,1294.7,-,-0.67%
2014_3_26_,1315.2,1315.2,1311.8,1303.4,-,-0.61%
2014_3_25_,1315.5,1315.5,1307.5,1311.4,0.05K,0.02%
2014_3_24_,1333,1333,1310.5,1311.2,0.10K,-1.86%
2014_3_21_,1339.1,1339.1,1335,1336,-,0.41%
2014_3_20_,1333.7,1333.7,1325.8,1330.5,0.07K,-0.81%
2014_3_19_,1357.1,1358,1332.7,1341.4,0.06K,-1.30%
2014_3_18_,1359.3,1361.8,1353.4,1359,0.04K,-1.01%
2014_3_17_,1386.1,1391.4,1372.2,1372.9,0.03K,-0.44%
2014_3_14_,1376.1,1386.6,1369.8,1379,0.09K,0.50%
2014_3_13_,1366.8,1374.5,1366.5,1372.2,0.02K,0.14%
2014_3_12_,1349.1,1370.5,1348.7,1370.3,0.06K,1.77%
2014_3_11_,1340,1352.4,1338.1,1346.5,0.05K,0.38%
2014_3_10_,1336,1344.7,1330.5,1341.4,0.10K,0.25%
2014_3_7_,1349.5,1352.7,1329.2,1338.1,0.10K,-1.01%
2014_3_6_,1338,1351.6,1333.3,1351.7,0.06K,0.86%
2014_3_5_,1334.8,1341,1334.8,1340.2,0.03K,0.18%
2014_3_4_,1350.4,1350.4,1332.2,1337.8,0.08K,-0.91%
2014_3_3_,1335.9,1354.1,1332.9,1350.1,0.23K,2.17%
2014_2_28_,1329.8,1332.6,1321.1,1321.4,0.24K,-0.77%
