Date,Open,High,Low,Close,Change
2014_11_25_,1.2627,1.2672,1.262,1.2641,0.11%
2014_11_24_,1.2647,1.2672,1.2613,1.2627,-0.32%
2014_11_21_,1.2669,1.2686,1.2636,1.2668,-0.01%
2014_11_20_,1.267,1.2677,1.2625,1.2669,-0.02%
2014_11_19_,1.2668,1.2686,1.2625,1.2671,0.04%
2014_11_18_,1.2668,1.2678,1.2615,1.2666,0.01%
2014_11_17_,1.2707,1.2734,1.2584,1.2665,0.12%
2014_11_14_,1.2662,1.2667,1.26,1.265,-0.09%
2014_11_13_,1.2658,1.2676,1.2623,1.2662,0.02%
2014_11_12_,1.2667,1.2691,1.2592,1.2659,-0.06%
2014_11_11_,1.2675,1.2689,1.2626,1.2666,-0.05%
2014_11_10_,1.2654,1.2685,1.2571,1.2672,0.09%
2014_11_7_,1.2687,1.2694,1.2625,1.266,-0.21%
2014_11_6_,1.2681,1.2833,1.245,1.2687,0.06%
2014_11_5_,1.2676,1.2694,1.2607,1.2679,0.02%
2014_11_4_,1.2674,1.269,1.2632,1.2676,0.01%
2014_11_3_,1.2541,1.2692,1.2481,1.2675,-0.07%
2014_10_31_,1.2684,1.2703,1.2637,1.2684,-0.02%
2014_10_30_,1.2684,1.2695,1.2672,1.2687,0.03%
2014_10_29_,1.269,1.2705,1.2532,1.2683,-0.06%
2014_10_28_,1.2684,1.27,1.2652,1.269,0.06%
2014_10_27_,1.2644,1.2697,1.2643,1.2683,0.01%
2014_10_24_,1.2676,1.2692,1.2668,1.2682,0.05%
2014_10_23_,1.2675,1.2696,1.26,1.2676,0.02%
2014_10_22_,1.2673,1.2693,1.2644,1.2673,-0.01%
2014_10_21_,1.2666,1.2688,1.2585,1.2674,0.06%
2014_10_20_,1.2657,1.268,1.2576,1.2667,-0.02%
2014_10_17_,1.2663,1.2707,1.2633,1.2669,0.06%
2014_10_16_,1.266,1.2701,1.2639,1.2662,-0.01%
2014_10_15_,1.2669,1.2805,1.2618,1.2663,-0.01%
2014_10_14_,1.2664,1.2676,1.263,1.2664,0.00%
2014_10_13_,1.259,1.2732,1.2588,1.2664,0.01%
2014_10_10_,1.2653,1.2677,1.2617,1.2663,0.10%
2014_10_9_,1.2636,1.2672,1.2547,1.265,0.10%
2014_10_8_,1.263,1.2675,1.2572,1.2637,0.06%
2014_10_7_,1.263,1.2682,1.2576,1.263,0.04%
2014_10_6_,1.2506,1.2649,1.2505,1.2625,-0.14%
2014_10_3_,1.2644,1.2672,1.2584,1.2643,-0.02%
2014_10_2_,1.2649,1.266,1.2612,1.2645,-0.02%
2014_10_1_,1.265,1.2662,1.2609,1.2647,-0.01%
2014_9_30_,1.2626,1.2665,1.2605,1.2648,0.16%
2014_9_29_,1.2555,1.267,1.2552,1.2628,-0.25%
2014_9_26_,1.2636,1.2672,1.2604,1.266,0.19%
2014_9_25_,1.2634,1.2647,1.2607,1.2636,0.02%
2014_9_24_,1.2634,1.2646,1.2548,1.2633,-0.02%
2014_9_23_,1.2622,1.2641,1.2576,1.2636,0.10%
2014_9_22_,1.259,1.2632,1.259,1.2624,0.04%
2014_9_19_,1.2623,1.2648,1.2604,1.2619,-0.03%
2014_9_18_,1.2627,1.2651,1.2608,1.2623,-0.08%
2014_9_17_,1.2625,1.2649,1.2506,1.2633,0.06%
2014_9_16_,1.2618,1.2634,1.259,1.2626,0.06%
2014_9_15_,1.2639,1.2649,1.2608,1.2619,-0.11%
2014_9_12_,1.2642,1.265,1.2608,1.2633,-0.07%
2014_9_11_,1.264,1.266,1.2613,1.2642,0.01%
2014_9_10_,1.2629,1.2665,1.2583,1.2641,0.07%
2014_9_9_,1.2619,1.2653,1.2586,1.2632,0.11%
2014_9_8_,1.2556,1.2674,1.2538,1.2618,-0.02%
2014_9_5_,1.2625,1.2654,1.261,1.2621,-0.04%
2014_9_4_,1.2618,1.265,1.2386,1.2626,0.06%
2014_9_3_,1.2606,1.263,1.2559,1.2618,0.10%
2014_9_2_,1.262,1.2621,1.256,1.2606,-0.11%
2014_9_1_,1.2603,1.2632,1.2566,1.262,0.10%
2014_8_29_,1.2614,1.2629,1.2567,1.2608,-0.06%
